token_id,token_action_index,action_taken,lower_tick,upper_tick,opening_block,token_amount_in,weth_amount_in,sqrt_price_limit_x96_in,tick_in,liquidity_in,closing_block,token_amount_out,weth_amount_out,sqrt_price_limit_x96_out,tick_out,token_fees_earned,weth_fees_earned,net_token_gain,net_weth_gain,approx_starting_weth,approx_ending_weth,net_pnl_in_weth
1833691,0,Open,-887200,887200,25163442,111089130885710997210035,23419542962998980,36377513198508697262264968,-153731,51006437569194400065,25198035,128459096062525691647819,20252802279052353,31458623397434151188156504,-156637,1576918507441656083722,237912321112399,18946883684256350521506,-2928828362834228,46603794348687664,40786160745221949,-5817633603465715
1840994,0,Open,-157600,-157200,25195962,67830566469268345468831,13499625568582298,30326064890958470478349697,-157370,3077432533957585365390,25196012,161038882866549314664802,0,29966742763995773212067979,-157608,951425986581903698161,1426123983126,94159742383862872894132,-13498199444599172,23337998871390015,22942816975817741,-395181895572274
1836215,0,Open,-157600,-155600,25173960,80194548358761606430108,14650142022277049,31625919105925941499791151,-156531,704566842136938669017,25174309,40262853173779312373911,21160171918759192,32357968466987075380778525,-156073,714842195129575259001,178330584969044,-39216852989852718797196,6688360481451187,27300254607745721,28105240194871340,804985587125619
1790172,0,Open,-164800,-162200,24985835,0,80000000000000000,24352114110689880852237945,-161758,2182943473475769085372,25029826,0,79999999999999999,26603183222121367601722105,-159990,13905006001402902587233,1196283206514877,13905006001402902587233,1196283206514876,80000000000000000,82748357123644427,2748357123644427
1842480,0,Open,-157600,-157000,25201990,58917445020834031657953,10608369926323766,30476576164192852025592580,-157271,1687518815754029654276,25202677,0,19445052669830701,30993472660057818321839684,-156935,422366078935998418083,151551037393149,-58495078941898033239870,8988233780900084,19239015722165024,19660592729188015,421577007022991
1846044,0,Open,-156600,-156200,25218000,61738887998797686596429,13341197445954473,31878090003826245276440395,-156372,2914903118530666747544,25219309,0,23422141132823559,32166266766137498995735128,-156192,540723991117567623103,189364042817720,-61198164007680118973326,10270307729686806,23236057915653976,23699742615432694,463684699778718
1846964,0,Open,-156000,-154000,25222910,66172011472642494204339,10110316591209788,33978702546699026931804294,-155095,532774584306838144674,25223643,90314217115660592420156,5754473007118133,33330951145764378716060086,-155480,331071007448412051241,16063889162650,24473276650466510267058,-4339779694929005,22159363204655225,21652404849407028,-506958355248197
1625770,0,Open,-166400,-165200,24304151,402601020009919568670813,3208793874567311,19440827036755466078944569,-166263,1909405116312836626098,24310509,0,28772096106448462,20536601416369443620126787,-165166,3814653341795868334355,493573263137875,-398786366668123700336458,26056875495019026,27204839088586843,29519408732845346,2314569644258503
1831362,0,Open,-157800,-157200,25148868,0,100000000000000000,30681911920543139442239467,-157137,8765611688325495877126,25149160,0,99999999999999999,30897736967370334684927192,-156996,0,0,0,-1,100000000000000000,99999999999999999,-1
1849912,0,Open,-158600,-158000,25240930,45040369655911142258376,7263646745202446,28988110126816970169028888,-158272,1220308898897735784898,25241638,10404023430101987170297,11949043793033040,29292308022189759120837042,-158064,293969752531305485726,86952966724937,-34342376473277849602353,4772350014555531,13232775176744801,13483714450106012,250939273361211
1847093,0,Open,-155800,-155200,25223638,58474827334169229617546,11829713204923490,33330891534130705984557026,-155480,1770677658362057771262,25223730,101824220340214166594031,4235765017955572,32991103793408574862762323,-155685,539713598268216241920,18024687025923,43889106604313153218405,-7575923499941995,22075117561647705,21824932769382353,-250184792265352
1846430,0,Open,-156200,-155600,25219972,70947484112251243926507,11006707558473408,32616209235007509077504581,-155914,1878931898910105149577,25220935,0,23220450076640437,33349166666043040663279437,-155469,368738772456645453423,185824344400007,-70578745339794598473084,12399566862567036,22910039170218578,23470953636512041,560914466293463
1838401,0,Open,-162000,-151200,25183217,265976615873781711871055,92790635715643431,34495970182216911937994598,-154793,704355970764034014780,0,737206022865034881960362,23609865552592173,26714300786563554631424273,-159906,131259434456636533756635,16641520459427909,602488841447889703845942,-52539249703623349,142703241056705105,137973772265013996,-4729468791691109
1837078,0,Open,-158800,-156800,25177591,93677053557550549013652,12034710848973743,29616402666697822961936057,-157844,689129397619650181362,25178452,22415724848933229416859,22392810767741029,30807257717342497785819546,-157055,309871347953900224005,148580354891794,-70951457360663419372788,10506680273659080,24993362899396721,25943074242178448,949711342781727
1833196,0,Open,-153800,-153200,25161105,0,500000000000000000,37588430622644406417390821,-153076,35883738105525881707053,25162277,0,499999999999999999,38207589851182494938226436,-152749,7144717658213369925735,1581579815521938,7144717658213369925735,1581579815521937,500000000000000000,503226553712870252,3226553712870252
1836918,0,Open,-158200,-156200,25177040,88682414294605306857368,12994158959517521,30571524795398816691187197,-157209,696098683424417288454,25177591,146826147596538257420408,4607264479833654,29616950027985786231875417,-157843,816564071604171162164,33207995227311,58960297373537121725204,-8353686484456556,26065917350310496,25064743929478327,-1001173420832169
1854634,0,Open,-156600,-155600,25261360,37373234262183815359906,3025512983518222,32038557745802773207355988,-156271,458252760589419708667,25262397,0,9345437875575117,33138017827316886518585361,-155596,30956194360435682406,69168573739579,-37342278067823379677500,6389093465796474,9075805910644275,9419967829944706,344161919300431
1850000,0,Open,-158400,-157800,25241638,42648024742190277780945,7460712180975552,29292646892329780573352056,-158063,1207443961547413711577,25243932,84112735151536903068843,1863686373960402,28925390038714454650258141,-158316,834858237163773451203,57005272558541,42299568646510398739101,-5540020534456609,13232171281136937,13129840541808753,-102330739328184
1884589,0,Open,-161400,-159000,25338154,0,10000000000000000,28093813887890258883001592,-158899,250671422236627580327,25342232,52116999884434252347246,3956331722479961,26041698449231862025137742,-160416,966974687988022415898,47713701929333,53083974572422274763144,-5995954575590706,10000000000000000,9681721917936383,-318278082063617
1844298,0,Open,-157600,-157000,25210704,83127842905158538191313,17450289114294009,30510755537426117397464586,-157249,2597629026619188148188,25210783,156729703649850974274124,6652809133577802,30181430414442684439196195,-157466,743847315869337632176,57220259364,74345708060561773714987,-10797422760456843,29654673984334071,29275318307468392,-379355676865679
1849574,0,Open,-158000,-157400,25238390,50473405428391809941792,8611480670557140,29870075623213276794279567,-157673,1406333727894437027763,25238611,112058549942988000595667,0,29222756025947544987491945,-158111,633486341009717352064,1608061318090,62218630855605908005939,-8609872609239050,15713858891793525,15178931411682267,-534927480111258
