contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,owner,recipient,tickLower,tickUpper
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x7cd0a4f44296e48e267dfa0c78667cfd631ae02edae0819698df803bf238770c,0xc420e1c25f29fd54203d5487e0fcb3b0cf09921f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,360,2024-12-16 08:59:11.000 UTC,23775102,444924868139640689705718,1189764721934731,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,-887200,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x3651b98f4060d4ee58286ce120fb899b99462d491c101db4e0b67c5d2a350e85,0xa2d04ed01cb5faad17cf36a57cf91de59a8956b5,0x732560fa1d1a76350b1a500155ba978031b53833,236,2024-12-16 18:08:03.000 UTC,23791568,807607115443516744177356272,1071087169729187250,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x618a9840691334ee8d24445a4ada4284bf42417d,-230400,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x336053eb73115c995dc1f01d448b4c67b9bb0ac261b5cba0ad06317bf4240e5d,0xa2d04ed01cb5faad17cf36a57cf91de59a8956b5,0x732560fa1d1a76350b1a500155ba978031b53833,112,2024-12-16 18:09:25.000 UTC,23791609,1269991482190415700964080,0,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x618a9840691334ee8d24445a4ada4284bf42417d,-230400,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x3bb6a981f27518111daf98111bd6f9a790b8512f52f100e966dde2111149fd5d,0x55b90ed0037b4c871f7f6ff68761ee4799880526,0x732560fa1d1a76350b1a500155ba978031b53833,295,2024-12-16 18:20:37.000 UTC,23791945,1052030618344981108777371,2045610884759345,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x618a9840691334ee8d24445a4ada4284bf42417d,-230400,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0xca47de165a92da5d072636b88b45bdddc058deedc49b4cbe8d2b9b4c4dd9b4c6,0xf0d9fad42fb61d559ba6b24119458d62dce0887a,0x732560fa1d1a76350b1a500155ba978031b53833,405,2024-12-16 18:48:09.000 UTC,23792771,6332607673165825141123942,5571298801551318,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x618a9840691334ee8d24445a4ada4284bf42417d,-230400,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x858f3802c5094891242bddc5a28a6c7c70bb8691c55d11e24019b5b4a7c6cb54,0x6e765da7ff7db5ba391549138572187eaf05dafa,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,105,2024-12-16 20:49:21.000 UTC,23796407,18099577070227414586281,1641966539461556,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x6e765da7ff7db5ba391549138572187eaf05dafa,-205000,-202600
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x1ef230f58e3ce0958b95b2dc26405cceae84abc21141e82b82b3ee28f19280d2,0xc420e1c25f29fd54203d5487e0fcb3b0cf09921f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,257,2024-12-16 21:23:39.000 UTC,23797436,1088912259985227571386444,1851518635104596,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,-887200,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x82ab338ff697a76a087397bc6b936d6eb172efa49ca6e803e25dda655acaaceb,0xc420e1c25f29fd54203d5487e0fcb3b0cf09921f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,169,2024-12-17 02:09:15.000 UTC,23806004,297645538096215704230056,1573086228123702,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,-887200,887200
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x845474d8e01b424d8a2e0b0247e576e9df63397f608b4ccf3e3171e798fdab1b,0xa8e5ed7f8c0d7e37b5ceab6fcbe2d1e5a4e997b2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,702,2024-12-17 03:42:11.000 UTC,23808792,6588177244925100732502438,77971735951676975,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xa8e5ed7f8c0d7e37b5ceab6fcbe2d1e5a4e997b2,-206000,-182800
0xfdbaf04326acc24e3d1788333826b71e3291863a,0x795bf9d14ffeffa2ca7d836e513a85dfafcabe478a4a1fd6c98977af6ddaef5f,0x600d07da0192e2d6fb66356db9b221434e74c87d,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,647,2024-12-17 05:07:49.000 UTC,23811361,1481052730291750086156667,18807510675119283,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x600d07da0192e2d6fb66356db9b221434e74c87d,-191200,-185000
