contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,liquidity,tokenId,amount0Min,amount1Min
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x9d63319a30443d9460e27f684c5b8cc6c075bd48981dc7a33f0ea91f93dea3ce,0x1d303f28299c936d88fec35f3c0c4428e8c115ed,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,45,2024-12-28 02:14:31.000 UTC,24281362,53382055177517529959072,3195912984154252,13061562052934827000,1620037,0,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x0bf1ae02ff9618649ab358f1e8975e22dc809a8a19b9c17e8828e7c51d5aed17,0x9729585607568dcbf1f5f3802afbf5b221702932,0x47edbf72b357fe0556f431609a90d065d594c1eb,166,2024-12-28 18:26:05.000 UTC,24310509,0,28772096106448462,1909405116312836626098,1625770,0,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x64b71c1d00849d7888ba3087095577cec292dec920214c5b1f644788aec3df46,0x079ddb99888346c9b1063f3aa203b1a6002fe4d2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,112,2024-12-29 05:07:09.000 UTC,24329741,2346699384163402629738733,112651715999360654,6416512567596820626162,1624460,2285527529935877095255354,108455619418130114
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x8736e785d9d46fa89cbedf662eba25225a3be98200cc0b99b35dba4b59ebde44,0x47673fd33b84a0ee8a2bc2ec36df0f774496ea27,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,223,2024-12-29 17:35:05.000 UTC,24352179,108124808738705505029820,167777685205227,101464100670088857731,1621419,107031568750275775820664,109068191652499
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x782c538ef35cc07efdba683ef6a8e85a5eec01834787ae9eae3af44e4ae839ac,0x824157e0ba80e32e6326eefa625c7a71b20fe016,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,143,2024-12-30 14:00:23.000 UTC,24388938,2278036136647804026485731,14998577026503407,1837337129795683480820,1633582,2256833382403084634436870,14005953771020403
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xf66db8333edc19e1a33030c032e0bc535a73757f7b22287d739d8f1d3485d808,0xd46de7cc9c0a28ffa7b2e6ecb25be970d477b8f2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,367,2025-01-03 07:00:13.000 UTC,24549133,5936424494040788721642412,0,146862024044825051321019,1680234,5877060249100380834425988,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xe1b1f605584045f4a449f2d05c045bc59d60dc354ae3536f9b583608fa665f55,0xd46de7cc9c0a28ffa7b2e6ecb25be970d477b8f2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,214,2025-01-03 20:53:27.000 UTC,24574130,0,351958205024332768,146613690271051979191366,1683387,0,351958205024332768
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x1d6353c257d72c0a1b59d95619334b8d7ad600e32c8ea4e3842785f957770f2d,0x7bd02c585b66baa0fbef273b6aa4ab8371c66e0f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,362,2024-12-27 22:38:13.000 UTC,24274873,49904780894334040778907,395453337358231111,5559044462720157598089,1612987,23243103783900000000000,393389817183000000
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x519c533f0218f653bcd5d8734df6a3c1a8614c0573bfbfe0cf99cb824925a9fe,0x7bd02c585b66baa0fbef273b6aa4ab8371c66e0f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,382,2024-12-30 16:22:23.000 UTC,24393198,5632021997659139739239297,0,4344336054119074066115,1620556,5575701778020000000000000,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xfc305bd05c3982c47dc0d46394bf0743221157eea6bb8f26580d5b527899f601,0xdaf0c6654e0166c697f2b1de016526be6047f49d,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,25,2024-12-30 23:55:55.000 UTC,24406804,0,14252864738608410,232992982373803518842,1638409,0,14252864738608410
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xde6cebd254a2f140369d164163a4a369f8dbb6f5d7998e4117f14e3fab13e689,0x9729585607568dcbf1f5f3802afbf5b221702932,0x47edbf72b357fe0556f431609a90d065d594c1eb,17,2025-01-01 01:59:35.000 UTC,24453714,596164439546109018235257,0,1367181884069408886576,1645775,0,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xf0d27da0818ca71082784861adb0aa0f78a26fef98a1e429ccb3a9bb5cbe87e3,0x4b82847c82087ea19418bed079966810f64f39f4,0x47edbf72b357fe0556f431609a90d065d594c1eb,49,2025-01-01 08:21:09.000 UTC,24465161,22149499973061342289807,33285057940896770,1337963125930947863932,1651732,0,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xabb6ff239d5125d41e22beac037313719f74abbeb0071c31310d1a4cca1c0292,0x1abe2c9d1e0f0312493b8cc328fd7d4582432979,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,55,2025-01-03 18:22:21.000 UTC,24569597,339353496601083579712506,51717698005321737,332759422910046155396,1641038,335885237754791703344530,51518654191789459
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xc27a10e994fe0502039d8f6f244592b61ce5dd729d2f9cd737ec7574575f97ff,0x6a8dfc07baf591ae8c45cd583e8735d278c58e6c,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,167,2025-01-12 10:42:29.000 UTC,24944601,0,24318647270340120,1186290746657898577283,1780697,0,24318647270340120
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x923305b162ca36199940db2fd6ced33017e87d7522c341d9f4d921df6771f5b2,0x768ab16dd43bdafc44a32b1d13b5631b1ad89511,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,417,2025-01-12 20:47:41.000 UTC,24962757,0,82383548418853218,584934470857746223540,1716951,0,82383548418853218
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xb69f8428e526dac2ce188ac53edce14f515abf205e2d049c02006956256487e9,0x98a71bcba772c8e3f5da91176a0ced1308ea593a,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,139,2024-12-25 23:56:39.000 UTC,24190826,9408441671942393590469453,0,95759891243352771073901,1601340,8549339140092483836834912,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x53d8cfb42d09707bc31a11bd2a422b1f44df9770e5673d68536edce58e7a6e31,0xe7e945bb7e5b941c29a835a1e13f1ca0b9f42a34,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,84,2024-12-27 10:03:43.000 UTC,24252238,0,163698189568384911,3648262304836411098926,1601603,0,163698189568384911
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x1546e2b783c920d8d3510ad0a26076d8d904b5ec3b8faa776b027ac43cba0b2d,0x9729585607568dcbf1f5f3802afbf5b221702932,0x47edbf72b357fe0556f431609a90d065d594c1eb,34,2024-12-28 08:49:51.000 UTC,24293222,16585745000920439101700,31158072337257452,2025418423477948203146,1623959,0,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x69251289057195474b2532ccd5628e5003109c7fc1d272bbb0e0e4a30857f85b,0x4df0542101bf98c60e29571b8aed359d96cef46e,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,370,2024-12-29 02:24:43.000 UTC,24324868,2507774999999999999998766,0,2922174122695222420683,1628587,2482697249999999999998778,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x881231c0c55ae4e5e5a5332ae2b31f25eabcadcbfa14a9b883f449de1de13c69,0xd168c6c632c7a92d737880e0a9c9c061e6de1803,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,86,2024-12-29 10:36:01.000 UTC,24339607,23135733175168882283573,1393550576765937,5678099533308608733,1624468,23078109839926049579754,1390062334557214
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x3120a278afa07c8a3ffb98e0ac20825df479229fc8b34db51c9015c2cfe90eb6,0xeed2a75957c32e3392736d001438c2ec339513bb,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,113,2024-12-30 07:10:59.000 UTC,24376656,4538171101449372339804035,0,3939161275541207976892,1621486,4538171101449372339804035,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x311ad0ef3162ae2041fb8a358c293cdacecf5d220d69c2f94ccfbfb31499f42e,0x9729585607568dcbf1f5f3802afbf5b221702932,0x47edbf72b357fe0556f431609a90d065d594c1eb,240,2024-12-31 15:41:27.000 UTC,24435170,27708739763980456983485,39359587002833278,1447962801829884242432,1642997,0,0
