contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,liquidity,tokenId,amount0Desired,amount1Desired
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xdb4773e1a67f4cb461b68f4689c18445da9b282925902429a23c41b2cf215bc7,0x600d07da0192e2d6fb66356db9b221434e74c87d,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,397,2024-12-17 05:14:17.000 UTC,23811555,2097202712830468529000664,18694392510095944,198004875411922189311,1506018,2097202712830468529000664,18694392510095944
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x11dbb357ab28ea23195b19645f29f13842668fddf569820a695d5122eb06c711,0x761038c1f0db073c975f1792f278c5b74b059f0f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,246,2024-12-18 15:09:03.000 UTC,23872598,15286819490053994518930864,279298674329517546,14735548890323923074358,1528487,15321017699539333999249727,279298674329517546
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xc3cbf82f0dc20325fc1d3bf314216e866a08b8ee1d3c79a4213f9611030761e0,0x5e77bf1d77fce41d66d7a3a9af6fabdfb406fa2e,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,253,2025-01-23 01:08:55.000 UTC,25402594,6468920815517856943418,671541489322962,8053401737583149133,1906014,6468920815517856943418,671541489322962
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xb114d8606b8cf2bdf6dd6638aefb59cea44d7f8aaef8f24df1dae59b9a9be9fb,0xd2582e16eab61f8dcb96713a58cc7134308f63f4,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,92,2025-01-23 03:01:49.000 UTC,25405981,399999999999999996025065,50206088059902376,141712509059577917292,1906898,399999999999999996025065,50206088059902376
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x28e74f95594dcecad3e49a7ea8b2c44efd1fca3e2eca89742575b6a864ba3a5a,0x4b82847c82087ea19418bed079966810f64f39f4,0xbf913d29365f2a72a995b9573edb0ce8a0f0bd8a,114,2025-01-25 15:47:33.000 UTC,25515353,11272769191999026690664,1687773059403331,148499756868135467745,1933618,11272769191999026690703,1688027686013728
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x9f6b3cd7680354521f5f3388fe0986856130d7b2b242151f64d7daa9f36027f2,0x6a8dfc07baf591ae8c45cd583e8735d278c58e6c,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,94,2025-01-12 10:53:45.000 UTC,24944939,124848779435166451904852,13513194252022671,484348983015014108674,1781550,124938609857264930885947,13513194252022671
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x30a9172f736d88452249482a1e956dde6f8040fcf4b47c7efbdbc30871d34bec,0xb97ece1fb040a6ed99d50cdca27e85ac44ffe7ac,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,460,2025-01-16 00:07:59.000 UTC,25098366,0,70000000000000000,21387346850501400331148,1819496,0,70000000000000000
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xa47646facb702348ea8cb2f524e73b2ba5125953424c5367efd830cd3950f177,0x91caf2d59f7e99fcf3ba8abec0a7858343875546,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,111,2024-12-27 06:57:27.000 UTC,24246650,260498649284373131914886,56997126064448752,1296927669425142597110,1614092,261048416916743667085803,56997126064448752
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x2a0f15fe99a9b94ab173346d29e3da1231e3955ad699002b11764cf0a4170855,0x079ddb99888346c9b1063f3aa203b1a6002fe4d2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,195,2024-12-27 19:57:07.000 UTC,24270040,6197564384530161221939664,30467926859478431,7750609613909570585612,1621282,6198053460736585817045226,30467926859478431
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xf4194fcb5a54c4a62464ed8ad80c2144e3fbf421fc45354c8f6986b77712f527,0x7017277a8f8828d8bf3a46513114274a8dda819f,0x410b72ccfeacbb20a31785edaa358d25a07e143d,66,2024-12-28 02:24:55.000 UTC,24281674,188469494055033085359596,18213792877429162,419828405744867074732,1622957,188589921092330216708618,18213792877429162
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x1a01e17b2a600faf516fe556a4d6d89c855424c19523c6c8599ad05a31391dcf,0xd46de7cc9c0a28ffa7b2e6ecb25be970d477b8f2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,294,2024-12-31 19:38:17.000 UTC,24442275,299999999999999999999981672,0,238000115754133903004095,1649074,300000000000000000000000000,0
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x29bff576adb6851e9ee864ea2a2acee31a82464b019d0e9de31aa010e644df76,0x9729585607568dcbf1f5f3802afbf5b221702932,0x47edbf72b357fe0556f431609a90d065d594c1eb,156,2025-01-02 02:09:25.000 UTC,24497209,276257513597128965125352,14986135347873622,1206017571978706075053,1666301,276257513597128965125506,14987265298425097
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x7b23212b2fc6c87de614917c3d3c440c95b4ba388b62693ef55e8a7f8c2f1730,0x4b82847c82087ea19418bed079966810f64f39f4,0x47edbf72b357fe0556f431609a90d065d594c1eb,45,2025-01-02 03:15:37.000 UTC,24499195,239911490853411737711964,16062335545605930,1170062036505911373398,1667242,239939338752850873657212,16062335545605930
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x052e44a39dc1fda6e3a55037e1f21451324f25cc5316b3be4de83381ba178d1f,0x4b82847c82087ea19418bed079966810f64f39f4,0x47edbf72b357fe0556f431609a90d065d594c1eb,117,2025-01-02 07:59:37.000 UTC,24507715,257839069880297912082677,14006879046928646,1123253138398101391896,1669495,257863239093725506852118,14006879046928646
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xabaac453b4fd5f7db8f76a5b9b9aec6d6635b0467f5747f8b38c6318f4c96bfe,0xd46de7cc9c0a28ffa7b2e6ecb25be970d477b8f2,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,294,2025-01-03 01:33:07.000 UTC,24539320,5427077713279448634544285,30886667994159804,146862024044825051321019,1680234,5427077713279448634544975,31121278687074012
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x7868f79ebcccb97630b6a90021e3e0774f27dc2ff5a2d76673284a30826dba74,0x7d65ccd64ad5813b7e873271b10f927ca23031ce,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,337,2025-01-17 06:28:33.000 UTC,25152983,0,500000000000000000,42109619902807913426866,1831916,0,500000000000000000
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x8c00cd461f79102e3d43ce80ee14832baba9a04e347f0d866236f33d330c2479,0x2b9b37cea99a55062c9a3de2aededc5667e8ab4f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,247,2025-01-17 06:41:55.000 UTC,25153384,0,500000000000000000,41690643027942352352444,1831973,0,500000000000000000
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0xf8d017700d705ab64e0f049b777ef0f7995003c2b9a1faae3a010dc349912f17,0x2b9b37cea99a55062c9a3de2aededc5667e8ab4f,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,257,2025-01-17 07:02:55.000 UTC,25154014,0,500000000000000000,40865153847703900075593,1832083,0,500000000000000000
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x5e9b57b8271954f98786e7cbecdfc3e875e6fa984a3c03a47bcdbae3beee7c5c,0x12f47ef0a02f4f93d198e9a7e83e59d5bbb6ef09,0x410b72ccfeacbb20a31785edaa358d25a07e143d,150,2025-01-17 08:11:49.000 UTC,25156081,414542394539246453145297,56345964138217900,6242208176843004678798,1832354,414542394539246453145367,56397101169172086
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x2fb981a7f3e1205f6c6dcb9b129165a561eead49b7a422fa5bfe89626ee8b587,0x7d65ccd64ad5813b7e873271b10f927ca23031ce,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,445,2025-01-17 10:02:43.000 UTC,25159408,0,500000000000000000,36608601094247658670728,1832881,0,500000000000000000
0x03a520b32c04bf3beef7beb72e919cf822ed34f1,0x02bcb79500ac23b230ffb3d9e7545196e5181a2457a4a6e38daf3384aad82c16,0x3c45a111aad3650ca103c05cd56af14ace7684fc,0x03a520b32c04bf3beef7beb72e919cf822ed34f1,399,2025-01-17 10:24:03.000 UTC,25160048,0,500000000000000000,35883738105525881707053,1833003,0,500000000000000000
